month,dimension,segment,weight
2021-01,材质,实木,38.3
2021-01,材质,板式,25.1
2021-01,材质,布艺,19.9
2021-01,材质,皮质,16.6
2021-01,价格段,5千以下,27.3
2021-01,价格段,5千-1万,30.5
2021-01,价格段,1万-2万,25.2
2021-01,价格段,2万以上,17.0
2021-01,品牌,一线品牌,33.0
2021-01,品牌,二线品牌,26.2
2021-01,品牌,设计师品牌,21.8
2021-01,品牌,白牌,19.0
2021-01,环保等级,ENF级,37.0
2021-01,环保等级,E0级,32.6
2021-01,环保等级,E1级,18.5
2021-01,环保等级,未标注,11.9
2021-02,材质,实木,38.2
2021-02,材质,板式,25.4
2021-02,材质,布艺,20.9
2021-02,材质,皮质,15.4
2021-02,价格段,5千以下,27.4
2021-02,价格段,5千-1万,30.7
2021-02,价格段,1万-2万,24.1
2021-02,价格段,2万以上,17.8
2021-02,品牌,一线品牌,32.8
2021-02,品牌,二线品牌,26.1
2021-02,品牌,设计师品牌,22.4
2021-02,品牌,白牌,18.6
2021-02,环保等级,ENF级,37.2
2021-02,环保等级,E0级,31.7
2021-02,环保等级,E1级,18.4
2021-02,环保等级,未标注,12.6
2021-03,材质,实木,38.1
2021-03,材质,板式,24.0
2021-03,材质,布艺,21.1
2021-03,材质,皮质,16.8
2021-03,价格段,5千以下,28.0
2021-03,价格段,5千-1万,30.1
2021-03,价格段,1万-2万,23.7
2021-03,价格段,2万以上,18.2
2021-03,品牌,一线品牌,32.5
2021-03,品牌,二线品牌,27.1
2021-03,品牌,设计师品牌,22.2
2021-03,品牌,白牌,18.2
2021-03,环保等级,ENF级,38.1
2021-03,环保等级,E0级,31.3
2021-03,环保等级,E1级,18.3
2021-03,环保等级,未标注,12.3
2021-04,材质,实木,38.1
2021-04,材质,板式,24.8
2021-04,材质,布艺,20.8
2021-04,材质,皮质,16.3
2021-04,价格段,5千以下,28.3
2021-04,价格段,5千-1万,30.3
2021-04,价格段,1万-2万,24.1
2021-04,价格段,2万以上,17.3
